Identifier,value1,value2,value3,g,l,s,m,e
180.0,258,44,35,1,0,0,0,0
180.0,258,45,33,1,0,0,0,0
180.0,258,45,33,1,0,0,0,0
180.0,259,45,33,1,0,0,0,0
180.0,257,42,33,1,0,0,0,0
180.0,255,41,32,1,0,0,0,0
180.0,253,40,33,1,0,0,0,0
180.0,254,41,33,1,0,0,0,0
180.0,253,42,33,1,0,0,0,0
180.0,260,40,33,1,0,0,0,0
180.0,258,40,33,1,0,0,0,0
180.0,252,36,33,1,0,0,0,0
180.0,255,36,33,1,0,0,0,0
180.0,245,41,33,1,0,0,0,0
180.0,246,39,31,1,0,0,0,0
180.0,245,37,32,1,0,0,0,0
180.0,244,40,35,1,0,0,0,0
180.0,248,38,33,1,0,0,0,0
180.0,245,38,33,1,0,0,0,0
180.0,245,38,33,1,0,0,0,0
180.0,240,36,33,1,0,0,0,0
180.0,244,39,35,1,0,0,0,0
180.0,245,38,34,1,0,0,0,0
180.0,243,39,33,1,0,0,0,0
180.0,247,39,33,1,0,0,0,0
180.0,244,38,34,1,0,0,0,0
180.0,245,38,34,1,0,0,0,0
180.0,247,38,32,1,0,0,0,0
180.0,244,39,34,1,0,0,0,0
180.0,245,37,32,1,0,0,0,0
180.0,245,39,32,1,0,0,0,0
180.0,244,35,33,1,0,0,0,0
180.0,249,38,31,1,0,0,0,0
180.0,246,38,34,1,0,0,0,0
180.0,248,39,33,1,0,0,0,0
180.0,243,37,33,1,0,0,0,0
180.0,247,38,31,1,0,0,0,0
180.0,247,36,32,1,0,0,0,0
180.0,244,36,34,1,0,0,0,0
180.0,248,36,33,1,0,0,0,0
180.0,245,38,34,1,0,0,0,0
180.0,251,38,32,1,0,0,0,0
180.0,254,37,32,1,0,0,0,0
180.0,256,37,32,1,0,0,0,0
180.0,256,40,33,1,0,0,0,0
180.0,256,38,33,1,0,0,0,0
180.0,256,37,34,1,0,0,0,0
180.0,254,39,35,1,0,0,0,0
180.0,253,37,32,1,0,0,0,0
180.0,254,39,32,1,0,0,0,0
180.0,252,36,33,1,0,0,0,0
180.0,251,36,35,1,0,0,0,0
180.0,250,37,32,1,0,0,0,0
180.0,250,37,32,1,0,0,0,0
180.0,243,35,33,1,0,0,0,0
180.0,248,38,32,1,0,0,0,0
180.0,246,36,32,1,0,0,0,0
180.0,246,37,33,1,0,0,0,0
180.0,248,34,31,1,0,0,0,0
180.0,248,36,33,1,0,0,0,0
180.0,250,38,32,1,0,0,0,0
180.0,245,36,32,1,0,0,0,0
180.0,250,36,34,1,0,0,0,0
180.0,251,37,34,1,0,0,0,0
180.0,251,37,33,1,0,0,0,0
180.0,248,37,31,1,0,0,0,0
