Identifier,value1,value2,value3,g,l,s,m,e
0.9,0.027835429129532414,0.003784641679892565,0.004150897326333781,1,0,0,0,0
0.9,0.027835429129532414,0.004028812110853376,0.004272982541814186,1,0,0,0,0
0.9,0.02795751434501282,0.00390672689537297,0.00390672689537297,1,0,0,0,0
0.9,0.02771334391405201,0.0036625564644121597,0.003784641679892565,1,0,0,0,0
0.9,0.027835429129532414,0.0036625564644121597,0.003784641679892565,1,0,0,0,0
0.9,0.02820168477597363,0.00390672689537297,0.0036625564644121597,1,0,0,0,0
0.9,0.028323769991454036,0.0036625564644121597,0.004028812110853376,1,0,0,0,0
0.9,0.02820168477597363,0.0036625564644121597,0.004150897326333781,1,0,0,0,0
0.9,0.02795751434501282,0.003784641679892565,0.004272982541814186,1,0,0,0,0
0.9,0.027835429129532414,0.003784641679892565,0.004272982541814186,1,0,0,0,0
0.9,0.028079599560493225,0.004272982541814186,0.0035404712489317544,1,0,0,0,0
0.9,0.027835429129532414,0.004028812110853376,0.004028812110853376,1,0,0,0,0
0.9,0.02820168477597363,0.004028812110853376,0.00390672689537297,1,0,0,0,0
0.9,0.028079599560493225,0.00390672689537297,0.004150897326333781,1,0,0,0,0
0.9,0.028323769991454036,0.00390672689537297,0.004028812110853376,1,0,0,0,0
0.9,0.027835429129532414,0.003784641679892565,0.004272982541814186,1,0,0,0,0
0.9,0.02820168477597363,0.00390672689537297,0.004028812110853376,1,0,0,0,0
0.9,0.028812110853375657,0.004150897326333781,0.00390672689537297,1,0,0,0,0
0.9,0.029056281284336467,0.004028812110853376,0.004028812110853376,1,0,0,0,0
0.9,0.02820168477597363,0.004517152972774997,0.00390672689537297,1,0,0,0,0
0.9,0.02795751434501282,0.004761323403735807,0.003784641679892565,1,0,0,0,0
0.9,0.02771334391405201,0.004517152972774997,0.004028812110853376,1,0,0,0,0
0.9,0.028323769991454036,0.005005493834696618,0.004028812110853376,1,0,0,0,0
0.9,0.02844585520693444,0.004883408619216213,0.004028812110853376,1,0,0,0,0
0.9,0.02771334391405201,0.005127579050177023,0.004028812110853376,1,0,0,0,0
0.9,0.027835429129532414,0.005493834696618239,0.004150897326333781,1,0,0,0,0
0.9,0.028934196068856062,0.005249664265657429,0.004028812110853376,1,0,0,0,0
0.9,0.02844585520693444,0.005371749481137834,0.004028812110853376,1,0,0,0,0
0.9,0.028934196068856062,0.005249664265657429,0.004150897326333781,1,0,0,0,0
0.9,0.029178366499816873,0.005371749481137834,0.004150897326333781,1,0,0,0,0
0.9,0.029178366499816873,0.005127579050177023,0.00390672689537297,1,0,0,0,0
0.9,0.028812110853375657,0.0056159199120986445,0.004028812110853376,1,0,0,0,0
0.9,0.02869002563789525,0.005371749481137834,0.00390672689537297,1,0,0,0,0
0.9,0.029056281284336467,0.005493834696618239,0.0036625564644121597,1,0,0,0,0
0.9,0.029056281284336467,0.004639238188255402,0.004028812110853376,1,0,0,0,0
0.9,0.029178366499816873,0.005005493834696618,0.004150897326333781,1,0,0,0,0
0.9,0.029422536930777683,0.004639238188255402,0.004028812110853376,1,0,0,0,0
0.9,0.029178366499816873,0.004639238188255402,0.003784641679892565,1,0,0,0,0
0.9,0.029300451715297278,0.004761323403735807,0.004272982541814186,1,0,0,0,0
0.9,0.029300451715297278,0.004639238188255402,0.004028812110853376,1,0,0,0,0
0.9,0.028812110853375657,0.004761323403735807,0.004028812110853376,1,0,0,0,0
0.9,0.029300451715297278,0.004883408619216213,0.004272982541814186,1,0,0,0,0
0.9,0.029422536930777683,0.004639238188255402,0.0043950677572945915,1,0,0,0,0
0.9,0.029422536930777683,0.004761323403735807,0.004150897326333781,1,0,0,0,0
0.9,0.029300451715297278,0.005005493834696618,0.004150897326333781,1,0,0,0,0
0.9,0.029056281284336467,0.004639238188255402,0.003784641679892565,1,0,0,0,0
0.9,0.029300451715297278,0.004761323403735807,0.004150897326333781,1,0,0,0,0
0.9,0.029300451715297278,0.0043950677572945915,0.004150897326333781,1,0,0,0,0
0.9,0.02954462214625809,0.004639238188255402,0.003784641679892565,1,0,0,0,0
0.9,0.029300451715297278,0.004517152972774997,0.004150897326333781,1,0,0,0,0
0.9,0.029422536930777683,0.004517152972774997,0.003784641679892565,1,0,0,0,0
0.9,0.029422536930777683,0.004639238188255402,0.004272982541814186,1,0,0,0,0
0.9,0.029422536930777683,0.004761323403735807,0.004028812110853376,1,0,0,0,0
0.9,0.028934196068856062,0.004761323403735807,0.004028812110853376,1,0,0,0,0
0.9,0.029300451715297278,0.004517152972774997,0.004028812110853376,1,0,0,0,0
0.9,0.029422536930777683,0.004639238188255402,0.00390672689537297,1,0,0,0,0
0.9,0.029666707361738494,0.005249664265657429,0.003784641679892565,1,0,0,0,0
0.9,0.029300451715297278,0.005493834696618239,0.004272982541814186,1,0,0,0,0
0.9,0.029422536930777683,0.005127579050177023,0.004150897326333781,1,0,0,0,0
0.9,0.03027713343914052,0.005127579050177023,0.004272982541814186,1,0,0,0,0
0.9,0.030643389085581736,0.005493834696618239,0.00390672689537297,1,0,0,0,0
0.9,0.03052130387010133,0.005249664265657429,0.004028812110853376,1,0,0,0,0
