Identifier,value1,value2,value3,g,l,s,m,e,Goodness
0.9,0.028201685,0.004028812,0.003906727,1,0,0,0,0,100
0.9,0.0280796,0.003906727,0.004150897,1,0,0,0,0,100
0.9,0.02832377,0.003906727,0.004028812,1,0,0,0,0,100
0.9,0.027835429,0.003784642,0.004272983,1,0,0,0,0,100
0.9,0.028201685,0.003906727,0.004028812,1,0,0,0,0,100
0.9,0.028812111,0.004150897,0.003906727,1,0,0,0,0,100
0.9,0.029056281,0.004028812,0.004028812,1,0,0,0,0,100
0.9,0.028201685,0.004517153,0.003906727,1,0,0,0,0,100
0.9,0.027957514,0.004761323,0.003784642,1,0,0,0,0,100
0.9,0.027713344,0.004517153,0.004028812,1,0,0,0,0,100
0.9,0.02832377,0.005005494,0.004028812,1,0,0,0,0,100
0.9,0.028445855,0.004883409,0.004028812,1,0,0,0,0,100
0.9,0.027713344,0.005127579,0.004028812,1,0,0,0,0,100
0.9,0.027835429,0.005493835,0.004150897,1,0,0,0,0,100
0.9,0.028934196,0.005249664,0.004028812,1,0,0,0,0,100
0.9,0.028445855,0.005371749,0.004028812,1,0,0,0,0,100
0.9,0.028934196,0.005249664,0.004150897,1,0,0,0,0,100
0.9,0.029178366,0.005371749,0.004150897,1,0,0,0,0,100
0.9,0.029178366,0.005127579,0.003906727,1,0,0,0,0,100
0.9,0.028812111,0.00561592,0.004028812,1,0,0,0,0,100
0.9,0.028690026,0.005371749,0.003906727,1,0,0,0,0,100
0.9,0.029056281,0.005493835,0.003662556,1,0,0,0,0,100
0.9,0.029056281,0.004639238,0.004028812,1,0,0,0,0,100
0.9,0.029178366,0.005005494,0.004150897,1,0,0,0,0,100
0.9,0.029422537,0.004639238,0.004028812,1,0,0,0,0,100
0.9,0.029178366,0.004639238,0.003784642,1,0,0,0,0,100
0.9,0.029300452,0.004761323,0.004272983,1,0,0,0,0,100
0.9,0.029300452,0.004639238,0.004028812,1,0,0,0,0,100
0.9,0.028812111,0.004761323,0.004028812,1,0,0,0,0,100
0.9,0.029300452,0.004883409,0.004272983,1,0,0,0,0,100
0.9,0.029422537,0.004639238,0.004395068,1,0,0,0,0,100
0.9,0.029422537,0.004761323,0.004150897,1,0,0,0,0,100
0.9,0.029300452,0.005005494,0.004150897,1,0,0,0,0,100
0.9,0.029056281,0.004639238,0.003784642,1,0,0,0,0,100
0.9,0.029300452,0.004761323,0.004150897,1,0,0,0,0,100
0.9,0.029300452,0.004395068,0.004150897,1,0,0,0,0,100
0.9,0.029544622,0.004639238,0.003784642,1,0,0,0,0,100
0.9,0.029300452,0.004517153,0.004150897,1,0,0,0,0,100
0.9,0.029422537,0.004517153,0.003784642,1,0,0,0,0,100
0.9,0.029422537,0.004639238,0.004272983,1,0,0,0,0,100
0.9,0.029422537,0.004761323,0.004028812,1,0,0,0,0,100
0.9,0.028934196,0.004761323,0.004028812,1,0,0,0,0,100
0.9,0.029300452,0.004517153,0.004028812,1,0,0,0,0,100
0.9,0.029422537,0.004639238,0.003906727,1,0,0,0,0,100
0.9,0.029666707,0.005249664,0.003784642,1,0,0,0,0,100
0.9,0.029300452,0.005493835,0.004272983,1,0,0,0,0,100
0.9,0.029422537,0.005127579,0.004150897,1,0,0,0,0,100
0.9,0.030277133,0.005127579,0.004272983,1,0,0,0,0,100
0.9,0.030643389,0.005493835,0.003906727,1,0,0,0,0,100
0.9,0.030521304,0.005249664,0.004028812,1,0,0,0,0,100
0.9,0.030277133,0.005371749,0.004028812,1,0,0,0,0,100
0.9,0.029788793,0.005005494,0.004028812,1,0,0,0,0,100
0.9,0.029666707,0.004639238,0.003906727,1,0,0,0,0,100
0.9,0.029788793,0.004395068,0.004150897,1,0,0,0,0,100
0.9,0.029788793,0.004761323,0.004150897,1,0,0,0,0,100
0.9,0.029910878,0.005005494,0.004272983,1,0,0,0,0,100
0.9,0.030277133,0.004883409,0.004150897,1,0,0,0,0,100
0.9,0.030032963,0.005127579,0.004028812,1,0,0,0,0,100
0.9,0.030399219,0.004761323,0.004272983,1,0,0,0,0,100
0.9,0.030155048,0.004639238,0.004150897,1,0,0,0,0,100
0.9,0.030643389,0.004639238,0.004028812,1,0,0,0,0,100
0.9,0.031009645,0.005127579,0.004028812,1,0,0,0,0,100
0.9,0.031620071,0.005493835,0.004028812,1,0,0,0,0,100
0.9,0.0313759,0.005493835,0.003906727,1,0,0,0,0,100
0.9,0.031620071,0.005493835,0.003906727,1,0,0,0,0,100
